,session,code,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,simple,cutoff,fault,payoff,exp
3589,tnn4atf7,ssukcuow,17,2,10,8.3,1,0.99,-0.01,Used the arrival time to best guess as to where my partner would go: Canteen or Office.,1.0,8.4,,5.06,AMT
3590,tnn4atf7,zxwcupoy,18,1,1,8.1,1,0.75,-0.29,,,,,5.27,AMT
3591,tnn4atf7,xzrmssrm,18,2,1,8.0,1,0.875,-0.13,,,,,0.0,AMT
3592,tnn4atf7,zxwcupoy,18,1,2,8.4,1,0.625,-1.96,,,,,5.27,AMT
3593,tnn4atf7,xzrmssrm,18,2,2,8.5,0,0.875,-4.16,,,,,0.0,AMT
3594,tnn4atf7,zxwcupoy,18,1,3,9.1,0,0.99,-0.02,,,,,5.27,AMT
3595,tnn4atf7,xzrmssrm,18,2,3,9.0,0,0.99,-0.02,,,,,0.0,AMT
3596,tnn4atf7,zxwcupoy,18,1,4,8.0,1,0.875,-0.13,,,,,5.27,AMT
3597,tnn4atf7,xzrmssrm,18,2,4,8.1,1,0.99,-0.01,,,,,0.0,AMT
3598,tnn4atf7,zxwcupoy,18,1,5,9.0,0,0.625,-0.94,,,,,5.27,AMT
3599,tnn4atf7,xzrmssrm,18,2,5,9.1,0,0.99,-0.02,,,,,0.0,AMT
3600,tnn4atf7,zxwcupoy,18,1,6,8.5,0,0.5,-1.39,"i used my time, since i didnt know what time my coworker got there I was forced to guess with some degree of uncertainty",1.0,8.4,3.0,5.27,AMT
3601,tnn4atf7,xzrmssrm,18,2,6,8.4,1,0.99,-9.21,I tried to gauge how much time I had left before I had to be at work,1.0,8.4,2.0,0.0,AMT
3602,tnn4atf7,8av102tv,19,1,1,8.5,0,0.99,-9.21,,,,,0.0,AMT
3603,tnn4atf7,ng16pmvq,19,2,1,8.4,1,0.99,-9.21,,,,,0.0,AMT
3604,tnn4atf7,8av102tv,19,1,2,9.1,0,0.75,-0.58,,,,,0.0,AMT
3605,tnn4atf7,ng16pmvq,19,2,2,9.0,0,0.99,-0.02,,,,,0.0,AMT
3606,tnn4atf7,8av102tv,19,1,3,8.0,0,0.99,-9.21,I made my decision based on what normal human activities on a normal day routine.,1.0,8.0,2.0,0.0,AMT
3607,tnn4atf7,ng16pmvq,19,2,3,8.1,1,0.875,-4.16,I didn't have any particular strategy.,3.0,8.3,1.0,0.0,AMT
3608,tnn4atf7,8dwzmgzu,21,1,1,8.1,1,0.625,-0.47,,,,,7.35,AMT
3609,tnn4atf7,qwj757qw,21,2,1,8.2,1,0.75,-0.29,,,,,9.3,AMT
3610,tnn4atf7,8dwzmgzu,21,1,2,8.5,0,0.875,-0.27,,,,,7.35,AMT
3611,tnn4atf7,qwj757qw,21,2,2,8.4,0,0.875,-0.27,,,,,9.3,AMT
3612,tnn4atf7,8dwzmgzu,21,1,3,8.3,1,0.75,-0.29,,,,,7.35,AMT
3613,tnn4atf7,qwj757qw,21,2,3,8.2,1,0.99,-0.01,,,,,9.3,AMT
3614,tnn4atf7,8dwzmgzu,21,1,4,9.1,0,0.99,-0.02,,,,,7.35,AMT
3615,tnn4atf7,qwj757qw,21,2,4,9.0,0,0.99,-0.02,,,,,9.3,AMT
3616,tnn4atf7,8dwzmgzu,21,1,5,8.1,1,0.875,-0.13,,,,,7.35,AMT
3617,tnn4atf7,qwj757qw,21,2,5,8.0,1,0.99,-0.01,,,,,9.3,AMT
3618,tnn4atf7,8dwzmgzu,21,1,6,9.0,0,0.99,-0.02,,,,,7.35,AMT
3619,tnn4atf7,qwj757qw,21,2,6,8.5,0,0.99,-0.02,,,,,9.3,AMT
3620,tnn4atf7,8dwzmgzu,21,1,7,9.0,0,0.99,-0.02,,,,,7.35,AMT
3621,tnn4atf7,qwj757qw,21,2,7,9.1,0,0.99,-0.02,,,,,9.3,AMT
3622,tnn4atf7,8dwzmgzu,21,1,8,9.1,0,0.875,-0.27,,,,,7.35,AMT
3623,tnn4atf7,qwj757qw,21,2,8,9.0,0,0.99,-0.02,,,,,9.3,AMT
3624,tnn4atf7,8dwzmgzu,21,1,9,9.0,0,0.75,-0.58,,,,,7.35,AMT
3625,tnn4atf7,qwj757qw,21,2,9,9.1,0,0.99,-0.02,,,,,9.3,AMT
3626,tnn4atf7,8dwzmgzu,21,1,10,9.1,0,0.75,-0.58,I gauge my decision by the time of arrival,1.0,8.3,,7.35,AMT
3627,tnn4atf7,qwj757qw,21,2,10,9.0,0,0.99,-0.02,choose depending on whether it's closer to 8am or 9am. very certain if the time is close to 9am or 8am. somewhat certain if it's more in between,1.0,8.0,,9.3,AMT
3628,tnn4atf7,l5u5zryb,22,1,1,8.2,1,0.75,-0.29,,,,,0.0,AMT
3629,tnn4atf7,69gdn8g3,22,2,1,8.3,1,0.99,-0.01,,,,,5.78,AMT
3630,tnn4atf7,l5u5zryb,22,1,2,8.0,1,0.99,-0.01,,,,,0.0,AMT
3631,tnn4atf7,69gdn8g3,22,2,2,8.1,1,0.99,-0.01,,,,,5.78,AMT
3632,tnn4atf7,l5u5zryb,22,1,3,8.2,1,0.75,-0.29,,,,,0.0,AMT
3633,tnn4atf7,69gdn8g3,22,2,3,8.1,1,0.99,-0.01,,,,,5.78,AMT
3634,tnn4atf7,l5u5zryb,22,1,4,9.1,0,0.75,-0.58,,,,,0.0,AMT
3635,tnn4atf7,69gdn8g3,22,2,4,9.0,0,0.99,-0.02,,,,,5.78,AMT
3636,tnn4atf7,l5u5zryb,22,1,5,8.3,1,0.75,-0.29,,,,,0.0,AMT
3637,tnn4atf7,69gdn8g3,22,2,5,8.2,1,0.99,-0.01,,,,,5.78,AMT
3638,tnn4atf7,l5u5zryb,22,1,6,9.0,0,0.99,-9.21,I just paid attention to the arrival times and selected the best choice.,1.0,8.4,2.0,0.0,AMT
3639,tnn4atf7,69gdn8g3,22,2,6,8.5,1,0.875,-4.16,"I went for the canteen if there was enough time, like 10 minutes or more.",1.0,8.5,2.0,5.78,AMT
3640,tnn4atf7,59x5xa54,25,1,1,8.1,1,0.875,-0.13,,,,,0.0,AMT
3641,tnn4atf7,i62ymkgs,25,2,1,8.0,1,0.875,-0.13,,,,,1.550000000000001,AMT
3642,tnn4atf7,59x5xa54,25,1,2,9.1,1,0.99,-9.21,,,,,0.0,AMT
3643,tnn4atf7,i62ymkgs,25,2,2,9.0,0,0.875,-4.16,,,,,1.550000000000001,AMT
3644,tnn4atf7,59x5xa54,25,1,3,8.0,0,0.75,-2.77,ijust made my best judgements,3.0,6.0,2.0,0.0,AMT
3645,tnn4atf7,i62ymkgs,25,2,3,8.1,1,0.875,-4.16,"I tried to anticipate what my partner would do, however it also seemed like there was an obvious choice if I arrived at any time before 8:50 so I would know that we both had time to go to the canteen (the best option bonus wise)",1.0,8.4,2.0,1.550000000000001,AMT
3646,tnn4atf7,7ij5rn3g,26,1,1,8.2,1,0.5,-1.39,,,,,4.45,AMT
3647,tnn4atf7,bc1tgfam,26,2,1,8.3,0,0.5,-1.39,,,,,0.0,AMT
3648,tnn4atf7,7ij5rn3g,26,1,2,8.0,0,0.875,-4.16,I tried to minimize my penalty. But it was hopeless.,1.0,8.5,2.0,4.45,AMT
3649,tnn4atf7,bc1tgfam,26,2,2,8.1,1,0.99,-9.21,The time was the biggest factor and to commit to my choice.,1.0,8.4,3.0,0.0,AMT
3650,tnn4atf7,h0hhbuah,27,1,1,9.1,1,0.99,-9.21,,,,,0.0,AMT
3651,tnn4atf7,49gyfrvj,27,2,1,9.0,0,0.99,-9.21,,,,,0.0,AMT
3652,tnn4atf7,h0hhbuah,27,1,2,8.2,0,0.99,-9.21,I tried to match their place.,1.0,9.1,1.0,0.0,AMT
3653,tnn4atf7,49gyfrvj,27,2,2,8.3,1,0.99,-9.21,"I used the rules of the game, to go to the canteen before 9 am and go straight to work at 9 or after.",1.0,8.3,2.0,0.0,AMT
3654,tnn4atf7,qs7afbz6,28,1,1,9.0,0,0.5,-1.39,,,,,8.49,AMT
3655,tnn4atf7,dzc9zfoq,28,2,1,9.1,0,0.75,-0.58,,,,,8.62,AMT
